data point,x,y,voltage,current,move number,flag
1,10500.0,10000.0,4.99964,-2.09e-10,0,0
2,10500.0,10000.0,5.00002,-2.1e-11,0,0
3,10500.0,10000.0,4.99978,5.592e-09,0,0
4,10500.0,10000.0,4.99985,2.052e-09,0,0
5,10500.0,10000.0,-0.00059,2.99985e-07,0,0
6,10500.0,10000.0,-0.00043,2.99986e-07,1,0
7,10500.0,10000.0,-0.00055,2.99985e-07,1,0
8,10500.0,10000.0,-0.00056,2.99984e-07,1,0
9,10500.0,10000.0,-0.00069,2.99984e-07,1,0
10,10500.0,10000.0,-0.0006,2.99983e-07,1,0
11,10500.0,10000.0,-0.00082,2.99982e-07,1,0
12,10500.0,10000.0,-0.00046,2.99984e-07,1,0
13,10499.6,10020.0,-0.00098,2.99984e-07,2,0
14,10499.6,10020.0,-0.00051,2.99984e-07,2,0
15,10499.6,10020.0,-0.00086,2.99983e-07,2,0
16,10499.6,10020.0,-0.0005,2.99985e-07,2,0
17,10499.6,10020.0,-0.00084,2.99985e-07,2,0
18,10499.6,10020.0,-0.00053,2.99985e-07,2,0
19,10499.6,10020.0,-0.00083,2.99984e-07,2,0
20,10499.6,10020.0,-0.0004,2.99984e-07,2,0
21,10498.4,10040.0,-0.00046,2.99983e-07,3,0
22,10498.4,10040.0,-0.00043,2.99984e-07,3,0
23,10498.4,10040.0,-0.00051,2.99984e-07,3,0
24,10498.4,10040.0,-0.00052,2.99985e-07,3,0
25,10498.4,10040.0,-0.00055,2.99983e-07,3,0
26,10498.4,10040.0,-0.00066,2.99985e-07,3,0
27,10498.4,10040.0,-0.00053,2.99983e-07,3,0
28,10498.4,10040.0,-0.00053,2.99985e-07,3,0
29,10496.4,10040.0,-0.00049,2.99984e-07,3,0
30,10496.4,10059.8,-0.00045,2.99984e-07,4,0
31,10496.4,10059.8,-0.00048,2.99984e-07,4,0
32,10496.4,10059.8,-0.00057,2.99983e-07,4,0
33,10496.4,10059.8,4.99997,2.3403e-08,4,0
34,10496.4,10059.8,4.9995,4.217e-09,4,0
35,10496.4,10059.8,4.9998,-1.0482e-08,4,0
36,10496.4,10059.8,4.99993,-7.93e-10,4,0
37,10493.6,10079.599999999999,4.99975,1.5338e-08,5,0
38,10493.6,10079.599999999999,4.99978,5.003e-09,5,0
39,10493.6,10079.599999999999,4.99989,-1.1975e-08,5,0
40,10493.6,10079.599999999999,4.99996,1.925e-09,5,0
41,10493.6,10079.599999999999,4.99944,1.1335e-08,5,0
42,10493.6,10079.599999999999,4.99983,6.79e-10,5,0
43,10493.6,10079.599999999999,4.99971,-1.4082e-08,5,0
44,10493.6,10079.599999999999,5.00004,4.646e-09,5,0
45,10490.0,10099.399999999998,4.99969,9.174e-09,6,0
46,10490.0,10099.399999999998,4.99954,-4.822e-09,6,0
47,10490.0,10099.399999999998,4.99978,-9.722e-09,6,0
48,10490.0,10099.399999999998,5.0001,8.093e-09,6,0
49,10490.0,10099.399999999998,4.99984,1.1517e-08,6,0
50,10490.0,10099.399999999998,4.99962,-8.006e-09,6,0
51,10490.0,10099.399999999998,4.99992,-7.829e-09,6,0
52,10485.6,10118.999999999998,4.99998,9.567e-09,7,0
