data point,x,y,voltage,current,move number,flag
91,10460.4,10194.8,5.00005,-4.227e-09,11,0
92,10460.4,10194.8,4.99982,2.5457e-08,11,0
93,10460.4,10194.8,4.99961,2.56e-09,11,0
94,10452.4,10213.0,4.9997,-2.2017e-08,12,0
95,10452.4,10213.0,5.00026,7.554e-09,12,0
96,10452.4,10213.0,4.99969,2.0256e-08,12,0
97,10452.4,10213.0,4.99963,-3.698e-09,12,0
98,10452.4,10213.0,4.99972,-2.4208e-08,12,0
99,10452.4,10213.0,5.00018,6.125e-09,12,0
100,10452.4,10213.0,4.99954,1.7922e-08,12,0
101,10452.4,10213.0,4.99968,-4.032e-09,12,0
102,10443.4,10231.0,4.99984,-2.4549e-08,13,0
103,10443.4,10231.0,4.9997,7.996e-09,13,0
104,10443.4,10231.0,4.9997,1.2314e-08,13,0
105,10443.4,10231.0,4.99956,-1.1542e-08,13,0
106,10443.4,10231.0,5.00004,-2.0186e-08,13,0
107,10443.4,10231.0,5.00003,1.4041e-08,13,0
108,10443.4,10231.0,4.9998,1.1023e-08,13,0
109,10433.8,10248.6,4.99959,-1.4433e-08,14,0
110,10433.8,10248.6,5.00008,-1.7893e-08,14,0
111,10433.8,10248.6,4.99999,1.9472e-08,14,0
112,10433.8,10248.6,4.99974,9.96e-09,14,0
113,10433.8,10248.6,4.99973,-1.4631e-08,14,0
114,10433.8,10248.6,5.0003,-1.1381e-08,14,0
115,10433.8,10248.6,5.00004,2.1857e-08,14,0
116,10423.599999999999,10265.800000000001,4.99925,9.418e-09,15,0
117,10423.599999999999,10265.800000000001,4.99975,-1.5838e-08,15,0
118,10423.599999999999,10265.800000000001,5.00017,-7.39e-09,15,0
119,10423.599999999999,10265.800000000001,4.99996,2.3658e-08,15,0
120,10423.599999999999,10265.800000000001,4.99965,7.919e-09,15,0
121,10423.599999999999,10265.800000000001,4.99972,-1.8378e-08,15,0
122,10423.599999999999,10265.800000000001,5.00035,5.7e-10,15,0
123,10412.599999999999,10282.400000000001,4.99983,2.4765e-08,16,0
124,10412.599999999999,10282.400000000001,4.99969,1.375e-09,16,0
125,10412.599999999999,10282.400000000001,4.99984,-1.8391e-08,16,0
126,10412.599999999999,10282.400000000001,5.00021,1.692e-09,16,0
127,10412.599999999999,10282.400000000001,4.99963,2.1271e-08,16,0
128,10412.599999999999,10282.400000000001,4.9996,-3.685e-09,16,0
129,10400.999999999998,10298.800000000001,4.99974,-1.9323e-08,17,0
130,10400.999999999998,10298.800000000001,5.00017,6.349e-09,17,0
131,10400.999999999998,10298.800000000001,4.99954,1.7929e-08,17,0
132,10400.999999999998,10298.800000000001,4.99951,-3.248e-09,17,0
133,10400.999999999998,10298.800000000001,4.99993,-2.0482e-08,17,0
134,10400.999999999998,10298.800000000001,5.00006,1.2198e-08,17,0
135,10400.999999999998,10298.800000000001,4.9997,1.5048e-08,17,0
136,10388.599999999999,10314.6,4.99958,-9.105e-09,18,0
137,10388.599999999999,10314.6,5.00024,-1.509e-08,18,0
138,10388.599999999999,10314.6,5.00012,1.5246e-08,18,0
139,10388.599999999999,10314.6,4.99977,1.1814e-08,18,0
140,10388.599999999999,10314.6,4.99966,-1.5636e-08,18,0
141,10388.599999999999,10314.6,5.00018,-1.3426e-08,18,0
142,10375.8,10329.800000000001,5.00008,1.8798e-08,19,0
143,10375.8,10329.800000000001,4.99977,7.749e-09,19,0
144,10375.8,10329.800000000001,4.99964,-1.4511e-08,19,0
145,10375.8,10329.800000000001,5.00025,-3.052e-09,19,0
146,10375.8,10329.800000000001,5.00003,1.9515e-08,19,0
147,10375.8,10329.800000000001,4.9997,1.0064e-08,19,0
148,10375.8,10329.800000000001,4.99983,-1.5747e-08,19,0
149,10362.199999999999,10344.6,5.00013,-9.351e-09,20,0
150,10362.199999999999,10344.6,4.99993,2.3259e-08,20,0
151,10362.199999999999,10344.6,4.99975,2.87e-09,20,0
152,10362.199999999999,10344.6,4.99979,-1.6036e-08,20,0
153,10362.199999999999,10344.6,5.00008,-2.099e-09,20,0
154,10362.199999999999,10344.6,4.99971,2.4482e-08,20,0
155,10348.199999999999,10358.800000000001,4.99965,-1.903e-09,21,0
156,10348.199999999999,10358.800000000001,4.99973,-1.9274e-08,21,0
157,10348.199999999999,10358.800000000001,5.00008,3.54e-09,21,0
158,10348.199999999999,10358.800000000001,4.99953,1.6036e-08,21,0
159,10348.199999999999,10358.800000000001,4.99968,-4.91e-09,21,0
