data point,x,y,voltage,current,move number,flag
1,10500.0,10000.0,5.00042,3.2546e-08,0,0
2,10500.0,10000.0,4.99985,-3.7188e-08,0,0
3,10500.0,10000.0,4.99955,-7.417e-09,0,0
4,10500.0,10000.0,4.99967,3.8074e-08,0,0
5,10500.0,10000.0,5.00067,9.38e-09,0,0
6,10500.0,10000.0,5.00002,-3.553e-08,0,0
7,10500.0,10000.0,5.00057,1.8518e-08,0,0
8,10500.0,10000.0,4.99926,3.5274e-08,0,0
9,10500.0,10000.0,4.99972,-4.501e-09,0,0
10,10500.0,10000.0,4.99991,-2.0698e-08,0,0
11,10500.0,10000.0,5.00022,1.169e-08,0,0
12,10500.0,10000.0,4.99955,1.802e-08,0,0
13,10500.0,10000.0,4.9997,-7.704e-09,0,0
14,10500.0,10000.0,5.0,-2.3537e-08,0,0
15,10500.0,10000.0,5.00019,1.5132e-08,0,0
16,10500.0,10000.0,4.99976,1.4813e-08,0,0
