data point,x,y,voltage,current,move number,flag
1,10500.0,10000.0,4.99974,-4.214e-09,0,0
2,10500.0,10000.0,5.0002,2.845e-09,0,0
3,10500.0,10000.0,4.99992,-1.1433e-08,0,0
4,10500.0,10000.0,4.99971,2.271e-08,0,0
5,10500.0,10000.0,5.00048,-1.5839e-08,0,0
6,10500.0,10000.0,-0.00053,2.99988e-07,0,0
7,10500.0,10000.0,-0.00036,2.99987e-07,1,0
8,10500.0,10000.0,-0.00055,2.99988e-07,1,0
9,10500.0,10000.0,-0.00039,2.99987e-07,1,0
10,10500.0,10000.0,-0.00051,2.99986e-07,1,0
11,10500.0,10000.0,-0.00022,2.99987e-07,1,0
12,10500.0,10000.0,-0.00051,2.99988e-07,1,0
13,10500.0,10000.0,-0.00021,2.99987e-07,1,0
14,10500.0,10000.0,-0.00045,2.99986e-07,1,0
15,10499.6,10020.0,3e-05,2.99987e-07,2,0
16,10499.6,10020.0,-0.0005,2.99987e-07,2,0
17,10499.6,10020.0,4.99983,2.0065e-08,2,0
18,10499.6,10020.0,4.99985,-2.1053e-08,2,0
19,10499.6,10020.0,5.00052,-1.0042e-08,2,0
20,10499.6,10020.0,5.00005,3.1217e-08,2,0
21,10499.6,10020.0,4.99959,2.796e-09,2,0
22,10499.6,10020.0,4.99999,-2.6603e-08,2,0
23,10498.4,10040.0,5.00026,-4.44e-10,3,0
24,10498.4,10040.0,4.99975,2.8131e-08,3,0
25,10498.4,10040.0,4.99954,-4.912e-09,3,0
26,10498.4,10040.0,5.00006,-2.3964e-08,3,0
27,10498.4,10040.0,5.00043,1.2914e-08,3,0
28,10498.4,10040.0,4.99985,1.9632e-08,3,0
29,10498.4,10040.0,4.99963,-1.241e-08,3,0
30,10498.4,10040.0,5.00028,-2.3723e-08,3,0
31,10496.4,10059.8,5.00039,2.0656e-08,4,0
32,10496.4,10059.8,4.99987,1.4151e-08,4,0
33,10496.4,10059.8,4.99981,-1.9434e-08,4,0
34,10496.4,10059.8,5.0004,-1.6596e-08,4,0
35,10496.4,10059.8,5.00021,2.6397e-08,4,0
36,10496.4,10059.8,4.99979,1.1767e-08,4,0
37,10496.4,10059.8,4.9998,-2.1815e-08,4,0
38,10493.6,10079.599999999999,5.00047,-5.006e-09,5,0
39,10493.6,10079.599999999999,5.00006,3.0609e-08,5,0
40,10493.6,10079.599999999999,4.99966,2.17e-09,5,0
41,10493.6,10079.599999999999,5.00008,-2.5378e-08,5,0
42,10493.6,10079.599999999999,5.00056,5.908e-09,5,0
43,10493.6,10079.599999999999,4.99967,2.4366e-08,5,0
44,10493.6,10079.599999999999,4.99979,-5.622e-09,5,0
45,10493.6,10079.599999999999,4.99994,-2.5326e-08,5,0
46,10490.0,10099.399999999998,5.00043,1.2587e-08,6,0
47,10490.0,10099.399999999998,4.99976,1.888e-08,6,0
48,10490.0,10099.399999999998,4.99966,-1.7094e-08,6,0
49,10490.0,10099.399999999998,5.00033,-2.3721e-08,6,0
50,10490.0,10099.399999999998,5.00039,2.3309e-08,6,0
51,10490.0,10099.399999999998,4.99988,1.5723e-08,6,0
52,10490.0,10099.399999999998,4.9999,-2.3734e-08,6,0
53,10485.6,10118.999999999998,5.00044,-1.1255e-08,7,0
54,10485.6,10118.999999999998,5.00025,3.1132e-08,7,0
55,10485.6,10118.999999999998,4.99969,7.99e-09,7,0
56,10485.6,10118.999999999998,4.9999,-2.3929e-08,7,0
57,10485.6,10118.999999999998,5.00049,-4.866e-09,7,0
58,10485.6,10118.999999999998,4.99984,3.1815e-08,7,0
59,10485.6,10118.999999999998,4.99962,-1.475e-09,7,0
60,10485.6,10118.999999999998,4.99995,-2.3964e-08,7,0
61,10480.6,10138.199999999999,5.00051,8.198e-09,8,0
62,10480.6,10138.199999999999,4.99978,1.7546e-08,8,0
63,10480.6,10138.199999999999,4.99976,-6.862e-09,8,0
64,10480.6,10138.199999999999,5.00014,-1.6209e-08,8,0
65,10480.6,10138.199999999999,5.00031,8.562e-09,8,0
66,10480.6,10138.199999999999,4.99995,9.812e-09,8,0
67,10480.6,10138.199999999999,4.9998,-1.0133e-08,8,0
68,10480.6,10138.199999999999,5.00019,-1.016e-08,8,0
69,10474.6,10157.4,5.00013,1.3905e-08,9,0
70,10474.6,10157.4,4.99996,4.082e-09,9,0
71,10474.6,10157.4,4.99996,-1.1316e-08,9,0
72,10474.6,10157.4,5.00035,-6.78e-09,9,0
73,10474.6,10157.4,5.00006,1.5699e-08,9,0
74,10474.6,10157.4,4.99982,3.895e-09,9,0
75,10474.6,10157.4,5.0,-1.1836e-08,9,0
76,10474.6,10157.4,5.00006,-1.109e-09,9,0
77,10474.6,10157.4,4.99979,1.2987e-08,9,0
78,10474.6,10157.4,4.99991,1.146e-09,9,0
79,10468.0,10176.199999999999,4.99985,-1.3975e-08,10,0
80,10468.0,10176.199999999999,5.00022,3.76e-09,10,0
81,10468.0,10176.199999999999,4.99985,1.2673e-08,10,0
82,10468.0,10176.199999999999,4.99959,-6.154e-09,10,0
83,10468.0,10176.199999999999,5.00004,-1.2989e-08,10,0
84,10468.0,10176.199999999999,5.0003,1.1906e-08,10,0
85,10468.0,10176.199999999999,4.99989,9.146e-09,10,0
86,10460.4,10194.8,4.99976,-1.2227e-08,11,0
87,10460.4,10194.8,5.00023,-8.335e-09,11,0
88,10460.4,10194.8,5.00016,1.6053e-08,11,0
89,10460.4,10194.8,4.99979,5.692e-09,11,0
90,10460.4,10194.8,5.0,-1.4327e-08,11,0
91,10460.4,10194.8,5.00024,-3.886e-09,11,0
92,10460.4,10194.8,4.99987,1.4522e-08,11,0
93,10460.4,10194.8,4.99988,2.318e-09,11,0
94,10452.4,10213.0,5.00001,-1.2436e-08,12,0
95,10452.4,10213.0,5.00022,2.56e-10,12,0
96,10452.4,10213.0,4.99989,1.2842e-08,12,0
97,10452.4,10213.0,4.99973,-2.24e-09,12,0
98,10452.4,10213.0,5.0001,-1.4578e-08,12,0
99,10452.4,10213.0,5.00029,5.367e-09,12,0
100,10452.4,10213.0,4.9999,1.0188e-08,12,0
101,10452.4,10213.0,4.99989,-9.82e-09,12,0
102,10443.4,10231.0,5.0002,-1.1933e-08,13,0
103,10443.4,10231.0,5.00009,1.483e-08,13,0
104,10443.4,10231.0,4.99985,8.022e-09,13,0
105,10443.4,10231.0,4.99989,-1.1982e-08,13,0
106,10443.4,10231.0,5.0001,-4.139e-09,13,0
107,10443.4,10231.0,4.99999,1.3826e-08,13,0
108,10443.4,10231.0,4.99986,3.168e-09,13,0
109,10433.8,10248.6,5.0,-1.3923e-08,14,0
110,10433.8,10248.6,5.00024,-8.8e-11,14,0
