Commanded Speed (steps/s) | Expected Duration (s) | Actual Duration (s) | Effective Speed (steps/s) | Overridden?
232 steps/s (46.4 µm/s) | Expected: 0.576 s | Actual: 0.160 s | Effective: 6426.32 steps/s | Overridden: YES
233 steps/s (46.6 µm/s) | Expected: 0.574 s | Actual: 0.160 s | Effective: 6356.96 steps/s | Overridden: YES
234 steps/s (46.8 µm/s) | Expected: 0.572 s | Actual: 0.160 s | Effective: 6426.86 steps/s | Overridden: YES
235 steps/s (47.0 µm/s) | Expected: 0.570 s | Actual: 0.160 s | Effective: 6381.82 steps/s | Overridden: YES
236 steps/s (47.2 µm/s) | Expected: 0.568 s | Actual: 0.161 s | Effective: 6252.19 steps/s | Overridden: YES
237 steps/s (47.4 µm/s) | Expected: 0.567 s | Actual: 0.144 s | Effective: 9999.90 steps/s | Overridden: YES
238 steps/s (47.6 µm/s) | Expected: 0.565 s | Actual: 0.144 s | Effective: 9999.90 steps/s | Overridden: YES
239 steps/s (47.8 µm/s) | Expected: 0.563 s | Actual: 0.145 s | Effective: 1455604.09 steps/s | Overridden: YES
240 steps/s (48.0 µm/s) | Expected: 0.561 s | Actual: 0.145 s | Effective: 9999.90 steps/s | Overridden: YES
241 steps/s (48.2 µm/s) | Expected: 0.560 s | Actual: 0.145 s | Effective: 9999.90 steps/s | Overridden: YES
242 steps/s (48.4 µm/s) | Expected: 0.558 s | Actual: 0.144 s | Effective: 9999.90 steps/s | Overridden: YES
243 steps/s (48.6 µm/s) | Expected: 0.556 s | Actual: 0.145 s | Effective: 1326259.96 steps/s | Overridden: YES
244 steps/s (48.8 µm/s) | Expected: 0.554 s | Actual: 0.144 s | Effective: 9999.90 steps/s | Overridden: YES
245 steps/s (49.0 µm/s) | Expected: 0.553 s | Actual: 0.544 s | Effective: 250.06 steps/s | Overridden: NO
246 steps/s (49.2 µm/s) | Expected: 0.551 s | Actual: 0.545 s | Effective: 249.91 steps/s | Overridden: NO
247 steps/s (49.4 µm/s) | Expected: 0.549 s | Actual: 0.544 s | Effective: 250.27 steps/s | Overridden: NO
248 steps/s (49.6 µm/s) | Expected: 0.548 s | Actual: 0.544 s | Effective: 250.23 steps/s | Overridden: NO
249 steps/s (49.8 µm/s) | Expected: 0.546 s | Actual: 0.544 s | Effective: 250.27 steps/s | Overridden: NO
250 steps/s (50.0 µm/s) | Expected: 0.545 s | Actual: 0.544 s | Effective: 250.18 steps/s | Overridden: NO
