Commanded Speed (steps/s) | Expected Duration (s) | Actual Duration (s) | Effective Speed (steps/s) | Overridden?
75 steps/s (15.0 µm/s) | Expected: 1.478 s | Actual: 1.472 s | Effective: 75.32 steps/s | Overridden: NO
76 steps/s (15.2 µm/s) | Expected: 1.460 s | Actual: 1.457 s | Effective: 76.21 steps/s | Overridden: NO
77 steps/s (15.4 µm/s) | Expected: 1.443 s | Actual: 1.440 s | Effective: 77.17 steps/s | Overridden: NO
78 steps/s (15.6 µm/s) | Expected: 1.427 s | Actual: 1.425 s | Effective: 78.12 steps/s | Overridden: NO
79 steps/s (15.8 µm/s) | Expected: 1.410 s | Actual: 1.409 s | Effective: 79.10 steps/s | Overridden: NO
80 steps/s (16.0 µm/s) | Expected: 1.395 s | Actual: 1.393 s | Effective: 80.10 steps/s | Overridden: NO
81 steps/s (16.2 µm/s) | Expected: 1.379 s | Actual: 1.377 s | Effective: 81.15 steps/s | Overridden: NO
82 steps/s (16.4 µm/s) | Expected: 1.364 s | Actual: 1.360 s | Effective: 82.26 steps/s | Overridden: NO
83 steps/s (16.6 µm/s) | Expected: 1.349 s | Actual: 1.344 s | Effective: 83.34 steps/s | Overridden: NO
84 steps/s (16.8 µm/s) | Expected: 1.335 s | Actual: 1.329 s | Effective: 84.44 steps/s | Overridden: NO
85 steps/s (17.0 µm/s) | Expected: 1.321 s | Actual: 1.313 s | Effective: 85.61 steps/s | Overridden: NO
86 steps/s (17.2 µm/s) | Expected: 1.307 s | Actual: 1.297 s | Effective: 86.79 steps/s | Overridden: NO
87 steps/s (17.4 µm/s) | Expected: 1.294 s | Actual: 1.281 s | Effective: 88.02 steps/s | Overridden: NO
88 steps/s (17.6 µm/s) | Expected: 1.281 s | Actual: 1.281 s | Effective: 88.02 steps/s | Overridden: NO
89 steps/s (17.8 µm/s) | Expected: 1.268 s | Actual: 1.264 s | Effective: 89.30 steps/s | Overridden: NO
90 steps/s (18.0 µm/s) | Expected: 1.256 s | Actual: 1.249 s | Effective: 90.58 steps/s | Overridden: NO
91 steps/s (18.2 µm/s) | Expected: 1.243 s | Actual: 1.233 s | Effective: 91.90 steps/s | Overridden: NO
92 steps/s (18.4 µm/s) | Expected: 1.232 s | Actual: 1.233 s | Effective: 91.90 steps/s | Overridden: NO
93 steps/s (18.6 µm/s) | Expected: 1.220 s | Actual: 1.217 s | Effective: 93.27 steps/s | Overridden: NO
94 steps/s (18.8 µm/s) | Expected: 1.208 s | Actual: 1.201 s | Effective: 94.70 steps/s | Overridden: NO
95 steps/s (19.0 µm/s) | Expected: 1.197 s | Actual: 1.184 s | Effective: 96.17 steps/s | Overridden: NO
96 steps/s (19.2 µm/s) | Expected: 1.186 s | Actual: 1.185 s | Effective: 96.14 steps/s | Overridden: NO
97 steps/s (19.4 µm/s) | Expected: 1.175 s | Actual: 1.169 s | Effective: 97.65 steps/s | Overridden: NO
98 steps/s (19.6 µm/s) | Expected: 1.165 s | Actual: 1.153 s | Effective: 99.19 steps/s | Overridden: NO
99 steps/s (19.8 µm/s) | Expected: 1.155 s | Actual: 1.153 s | Effective: 99.21 steps/s | Overridden: NO
100 steps/s (20.0 µm/s) | Expected: 1.145 s | Actual: 1.137 s | Effective: 100.81 steps/s | Overridden: NO
101 steps/s (20.2 µm/s) | Expected: 1.135 s | Actual: 1.121 s | Effective: 102.45 steps/s | Overridden: NO
102 steps/s (20.4 µm/s) | Expected: 1.125 s | Actual: 1.121 s | Effective: 102.45 steps/s | Overridden: NO
103 steps/s (20.6 µm/s) | Expected: 1.115 s | Actual: 1.105 s | Effective: 104.15 steps/s | Overridden: NO
104 steps/s (20.8 µm/s) | Expected: 1.106 s | Actual: 1.105 s | Effective: 104.16 steps/s | Overridden: NO
105 steps/s (21.0 µm/s) | Expected: 1.097 s | Actual: 1.089 s | Effective: 105.92 steps/s | Overridden: NO
106 steps/s (21.2 µm/s) | Expected: 1.088 s | Actual: 1.088 s | Effective: 105.95 steps/s | Overridden: NO
107 steps/s (21.4 µm/s) | Expected: 1.079 s | Actual: 1.073 s | Effective: 107.74 steps/s | Overridden: NO
108 steps/s (21.6 µm/s) | Expected: 1.070 s | Actual: 1.057 s | Effective: 109.63 steps/s | Overridden: NO
109 steps/s (21.8 µm/s) | Expected: 1.062 s | Actual: 1.057 s | Effective: 109.66 steps/s | Overridden: NO
110 steps/s (22.0 µm/s) | Expected: 1.054 s | Actual: 1.041 s | Effective: 111.58 steps/s | Overridden: NO
111 steps/s (22.2 µm/s) | Expected: 1.045 s | Actual: 1.041 s | Effective: 111.60 steps/s | Overridden: NO
112 steps/s (22.4 µm/s) | Expected: 1.037 s | Actual: 1.024 s | Effective: 113.65 steps/s | Overridden: NO
113 steps/s (22.6 µm/s) | Expected: 1.030 s | Actual: 1.025 s | Effective: 113.60 steps/s | Overridden: NO
114 steps/s (22.8 µm/s) | Expected: 1.022 s | Actual: 1.009 s | Effective: 115.72 steps/s | Overridden: NO
115 steps/s (23.0 µm/s) | Expected: 1.014 s | Actual: 1.009 s | Effective: 115.72 steps/s | Overridden: NO
116 steps/s (23.2 µm/s) | Expected: 1.007 s | Actual: 0.992 s | Effective: 117.95 steps/s | Overridden: NO
117 steps/s (23.4 µm/s) | Expected: 0.999 s | Actual: 0.993 s | Effective: 117.93 steps/s | Overridden: NO
